"","nosite","noyear","eff","days","freq","prox"
"986",150,10,0.001,6,2,"2_150"
"987",200,10,0.001,6,2,"2_200"
"988",250,10,0.001,6,2,"2_250"
"989",300,10,0.001,6,2,"2_300"
"997",50,20,0.001,6,2,"2_50"
"1000",100,20,0.001,6,2,"2_100"
"1002",150,20,0.001,6,2,"2_150"
"1003",200,20,0.001,6,2,"2_200"
"1004",250,20,0.001,6,2,"2_250"
"1005",300,20,0.001,6,2,"2_300"
"1013",50,25,0.001,6,2,"2_50"
"1016",100,25,0.001,6,2,"2_100"
"1018",150,25,0.001,6,2,"2_150"
"1019",200,25,0.001,6,2,"2_200"
"1020",250,25,0.001,6,2,"2_250"
"1021",300,25,0.001,6,2,"2_300"
"1029",50,5,0.002,6,2,"2_50"
"1032",100,5,0.002,6,2,"2_100"
"1034",150,5,0.002,6,2,"2_150"
"1035",200,5,0.002,6,2,"2_200"
"1036",250,5,0.002,6,2,"2_250"
"1037",300,5,0.002,6,2,"2_300"
"1045",50,10,0.002,6,2,"2_50"
"1048",100,10,0.002,6,2,"2_100"
"1050",150,10,0.002,6,2,"2_150"
"1051",200,10,0.002,6,2,"2_200"
"1052",250,10,0.002,6,2,"2_250"
"1053",300,10,0.002,6,2,"2_300"
"1061",50,20,0.002,6,2,"2_50"
"1064",100,20,0.002,6,2,"2_100"
"1066",150,20,0.002,6,2,"2_150"
"1067",200,20,0.002,6,2,"2_200"
"1068",250,20,0.002,6,2,"2_250"
"1069",300,20,0.002,6,2,"2_300"
"1077",50,25,0.002,6,2,"2_50"
"1080",100,25,0.002,6,2,"2_100"
"1082",150,25,0.002,6,2,"2_150"
"1083",200,25,0.002,6,2,"2_200"
"1084",250,25,0.002,6,2,"2_250"
"1085",300,25,0.002,6,2,"2_300"
"1093",50,5,0.01,6,2,"2_50"
"1096",100,5,0.01,6,2,"2_100"
"1098",150,5,0.01,6,2,"2_150"
"1099",200,5,0.01,6,2,"2_200"
"1100",250,5,0.01,6,2,"2_250"
"1101",300,5,0.01,6,2,"2_300"
"1109",50,10,0.01,6,2,"2_50"
"1112",100,10,0.01,6,2,"2_100"
"1114",150,10,0.01,6,2,"2_150"
"1115",200,10,0.01,6,2,"2_200"
"1116",250,10,0.01,6,2,"2_250"
"1117",300,10,0.01,6,2,"2_300"
"1125",50,20,0.01,6,2,"2_50"
"1128",100,20,0.01,6,2,"2_100"
"1130",150,20,0.01,6,2,"2_150"
"1131",200,20,0.01,6,2,"2_200"
"1132",250,20,0.01,6,2,"2_250"
"1133",300,20,0.01,6,2,"2_300"
"1141",50,25,0.01,6,2,"2_50"
"1144",100,25,0.01,6,2,"2_100"
"1146",150,25,0.01,6,2,"2_150"
"1147",200,25,0.01,6,2,"2_200"
"1148",250,25,0.01,6,2,"2_250"
"1149",300,25,0.01,6,2,"2_300"
"1154",20,5,0.001,2,5,"5_20"
"1156",40,5,0.001,2,5,"5_40"
"1158",60,5,0.001,2,5,"5_60"
"1159",80,5,0.001,2,5,"5_80"
"1160",100,5,0.001,2,5,"5_100"
"1161",120,5,0.001,2,5,"5_120"
"1170",20,10,0.001,2,5,"5_20"
"1172",40,10,0.001,2,5,"5_40"
"1174",60,10,0.001,2,5,"5_60"
"1175",80,10,0.001,2,5,"5_80"
"1176",100,10,0.001,2,5,"5_100"
"1177",120,10,0.001,2,5,"5_120"
"1186",20,20,0.001,2,5,"5_20"
"1188",40,20,0.001,2,5,"5_40"
"1190",60,20,0.001,2,5,"5_60"
"1191",80,20,0.001,2,5,"5_80"
"1192",100,20,0.001,2,5,"5_100"
"1193",120,20,0.001,2,5,"5_120"
"1202",20,25,0.001,2,5,"5_20"
"1204",40,25,0.001,2,5,"5_40"
"1206",60,25,0.001,2,5,"5_60"
"1207",80,25,0.001,2,5,"5_80"
"1208",100,25,0.001,2,5,"5_100"
"1209",120,25,0.001,2,5,"5_120"
"1218",20,5,0.002,2,5,"5_20"
"1220",40,5,0.002,2,5,"5_40"
"1222",60,5,0.002,2,5,"5_60"
"1223",80,5,0.002,2,5,"5_80"
"1224",100,5,0.002,2,5,"5_100"
"1225",120,5,0.002,2,5,"5_120"
"1234",20,10,0.002,2,5,"5_20"
"1236",40,10,0.002,2,5,"5_40"
"1238",60,10,0.002,2,5,"5_60"
"1239",80,10,0.002,2,5,"5_80"
"1240",100,10,0.002,2,5,"5_100"
"1241",120,10,0.002,2,5,"5_120"
"1250",20,20,0.002,2,5,"5_20"
"1252",40,20,0.002,2,5,"5_40"
"1254",60,20,0.002,2,5,"5_60"
"1255",80,20,0.002,2,5,"5_80"
"1256",100,20,0.002,2,5,"5_100"
"1257",120,20,0.002,2,5,"5_120"
"1266",20,25,0.002,2,5,"5_20"
"1268",40,25,0.002,2,5,"5_40"
"1270",60,25,0.002,2,5,"5_60"
"1271",80,25,0.002,2,5,"5_80"
"1272",100,25,0.002,2,5,"5_100"
"1273",120,25,0.002,2,5,"5_120"
"1282",20,5,0.01,2,5,"5_20"
"1284",40,5,0.01,2,5,"5_40"
"1286",60,5,0.01,2,5,"5_60"
"1287",80,5,0.01,2,5,"5_80"
"1288",100,5,0.01,2,5,"5_100"
"1289",120,5,0.01,2,5,"5_120"
"1298",20,10,0.01,2,5,"5_20"
"1300",40,10,0.01,2,5,"5_40"
"1302",60,10,0.01,2,5,"5_60"
"1303",80,10,0.01,2,5,"5_80"
"1304",100,10,0.01,2,5,"5_100"
"1305",120,10,0.01,2,5,"5_120"
"1314",20,20,0.01,2,5,"5_20"
"1316",40,20,0.01,2,5,"5_40"
"1318",60,20,0.01,2,5,"5_60"
"1319",80,20,0.01,2,5,"5_80"
"1320",100,20,0.01,2,5,"5_100"
"1321",120,20,0.01,2,5,"5_120"
"1330",20,25,0.01,2,5,"5_20"
"1332",40,25,0.01,2,5,"5_40"
"1334",60,25,0.01,2,5,"5_60"
"1335",80,25,0.01,2,5,"5_80"
"1336",100,25,0.01,2,5,"5_100"
"1337",120,25,0.01,2,5,"5_120"
"1346",20,5,0.001,4,5,"5_20"
"1348",40,5,0.001,4,5,"5_40"
"1350",60,5,0.001,4,5,"5_60"
"1351",80,5,0.001,4,5,"5_80"
"1352",100,5,0.001,4,5,"5_100"
"1353",120,5,0.001,4,5,"5_120"
"1362",20,10,0.001,4,5,"5_20"
"1364",40,10,0.001,4,5,"5_40"
"1366",60,10,0.001,4,5,"5_60"
"1367",80,10,0.001,4,5,"5_80"
"1368",100,10,0.001,4,5,"5_100"
"1369",120,10,0.001,4,5,"5_120"
"1378",20,20,0.001,4,5,"5_20"
"1380",40,20,0.001,4,5,"5_40"
"1382",60,20,0.001,4,5,"5_60"
"1383",80,20,0.001,4,5,"5_80"
"1384",100,20,0.001,4,5,"5_100"
"1385",120,20,0.001,4,5,"5_120"
"1394",20,25,0.001,4,5,"5_20"
"1396",40,25,0.001,4,5,"5_40"
"1398",60,25,0.001,4,5,"5_60"
"1399",80,25,0.001,4,5,"5_80"
"1400",100,25,0.001,4,5,"5_100"
"1401",120,25,0.001,4,5,"5_120"
"1410",20,5,0.002,4,5,"5_20"
"1412",40,5,0.002,4,5,"5_40"
"1414",60,5,0.002,4,5,"5_60"
"1415",80,5,0.002,4,5,"5_80"
"1416",100,5,0.002,4,5,"5_100"
"1417",120,5,0.002,4,5,"5_120"
"1426",20,10,0.002,4,5,"5_20"
"1428",40,10,0.002,4,5,"5_40"
"1430",60,10,0.002,4,5,"5_60"
"1431",80,10,0.002,4,5,"5_80"
"1432",100,10,0.002,4,5,"5_100"
"1433",120,10,0.002,4,5,"5_120"
"1442",20,20,0.002,4,5,"5_20"
"1444",40,20,0.002,4,5,"5_40"
"1446",60,20,0.002,4,5,"5_60"
"1447",80,20,0.002,4,5,"5_80"
"1448",100,20,0.002,4,5,"5_100"
"1449",120,20,0.002,4,5,"5_120"
"1458",20,25,0.002,4,5,"5_20"
"1460",40,25,0.002,4,5,"5_40"
"1462",60,25,0.002,4,5,"5_60"
"1463",80,25,0.002,4,5,"5_80"
"1464",100,25,0.002,4,5,"5_100"
"1465",120,25,0.002,4,5,"5_120"
"1474",20,5,0.01,4,5,"5_20"
"1476",40,5,0.01,4,5,"5_40"
"1478",60,5,0.01,4,5,"5_60"
"1479",80,5,0.01,4,5,"5_80"
"1480",100,5,0.01,4,5,"5_100"
"1481",120,5,0.01,4,5,"5_120"
"1490",20,10,0.01,4,5,"5_20"
"1492",40,10,0.01,4,5,"5_40"
"1494",60,10,0.01,4,5,"5_60"
"1495",80,10,0.01,4,5,"5_80"
"1496",100,10,0.01,4,5,"5_100"
"1497",120,10,0.01,4,5,"5_120"
"1506",20,20,0.01,4,5,"5_20"
"1508",40,20,0.01,4,5,"5_40"
"1510",60,20,0.01,4,5,"5_60"
"1511",80,20,0.01,4,5,"5_80"
"1512",100,20,0.01,4,5,"5_100"
"1513",120,20,0.01,4,5,"5_120"
"1522",20,25,0.01,4,5,"5_20"
"1524",40,25,0.01,4,5,"5_40"
"1526",60,25,0.01,4,5,"5_60"
"1527",80,25,0.01,4,5,"5_80"
"1528",100,25,0.01,4,5,"5_100"
"1529",120,25,0.01,4,5,"5_120"
"1538",20,5,0.001,6,5,"5_20"
"1540",40,5,0.001,6,5,"5_40"
"1542",60,5,0.001,6,5,"5_60"
"1543",80,5,0.001,6,5,"5_80"
"1544",100,5,0.001,6,5,"5_100"
"1545",120,5,0.001,6,5,"5_120"
"1554",20,10,0.001,6,5,"5_20"
"1556",40,10,0.001,6,5,"5_40"
"1558",60,10,0.001,6,5,"5_60"
"1559",80,10,0.001,6,5,"5_80"
"1560",100,10,0.001,6,5,"5_100"
"1561",120,10,0.001,6,5,"5_120"
"1570",20,20,0.001,6,5,"5_20"
"1572",40,20,0.001,6,5,"5_40"
"1574",60,20,0.001,6,5,"5_60"
"1575",80,20,0.001,6,5,"5_80"
"1576",100,20,0.001,6,5,"5_100"
"1577",120,20,0.001,6,5,"5_120"
"1586",20,25,0.001,6,5,"5_20"
"1588",40,25,0.001,6,5,"5_40"
"1590",60,25,0.001,6,5,"5_60"
"1591",80,25,0.001,6,5,"5_80"
"1592",100,25,0.001,6,5,"5_100"
"1593",120,25,0.001,6,5,"5_120"
"1602",20,5,0.002,6,5,"5_20"
"1604",40,5,0.002,6,5,"5_40"
"1606",60,5,0.002,6,5,"5_60"
"1607",80,5,0.002,6,5,"5_80"
"1608",100,5,0.002,6,5,"5_100"
"1609",120,5,0.002,6,5,"5_120"
"1618",20,10,0.002,6,5,"5_20"
"1620",40,10,0.002,6,5,"5_40"
"1622",60,10,0.002,6,5,"5_60"
"1623",80,10,0.002,6,5,"5_80"
"1624",100,10,0.002,6,5,"5_100"
"1625",120,10,0.002,6,5,"5_120"
